,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,2707,2018-10-31,483.68,503.78,509.38,479.09,10556254.0,5239853122.0,6.860743,503.78
600519.XSHG,2708,2018-11-01,509.38,516.72,537.37,505.93,10689389.0,5581027253.0,6.860743,516.72
600519.XSHG,2709,2018-11-02,536.91,550.59,550.68,525.2,9714252.0,5227695093.0,6.860743,550.59
600519.XSHG,2710,2018-11-05,544.25,528.47,544.25,524.77,8228095.0,4373994135.0,6.860743,528.47
600519.XSHG,2711,2018-11-06,526.81,519.47,526.96,512.14,4964738.0,2572068930.0,6.860743,519.47
600519.XSHG,2712,2018-11-07,522.23,519.84,527.69,515.81,4152100.0,2165679706.0,6.860743,519.84
600519.XSHG,2713,2018-11-08,526.81,523.46,529.57,521.31,3678787.0,1933594956.0,6.860743,523.46
600519.XSHG,2714,2018-11-09,520.59,515.8,522.23,515.8,2651661.0,1374731688.0,6.860743,515.8
600519.XSHG,2715,2018-11-12,507.54,506.62,508.64,492.67,7389906.0,3709848786.0,6.860743,506.62
600519.XSHG,2716,2018-11-13,501.23,523.14,523.14,498.36,7237893.0,3695850099.0,6.860743,523.14
600519.XSHG,2717,2018-11-14,523.11,509.47,523.11,507.13,4550778.0,2331999884.0,6.860743,509.47
600519.XSHG,2718,2018-11-15,512.86,513.69,518.37,509.84,3359507.0,1728199015.0,6.860743,513.69
600519.XSHG,2719,2018-11-16,514.88,513.97,519.47,512.16,3153076.0,1625453517.0,6.860743,513.97
600519.XSHG,2720,2018-11-19,514.24,522.24,524.98,513.15,3941973.0,2052509531.0,6.860743,522.24
600519.XSHG,2721,2018-11-20,518.55,515.43,521.31,513.97,2935650.0,1514353125.0,6.860743,515.43
600519.XSHG,2722,2018-11-21,508.46,518.28,522.13,508.16,2953523.0,1527915052.0,6.860743,518.28
600519.XSHG,2723,2018-11-22,518.69,518.1,520.69,512.13,2311335.0,1193347565.0,6.860743,518.1
600519.XSHG,2724,2018-11-23,517.64,511.12,520.67,511.12,2192886.0,1126652921.0,6.860743,511.12
600519.XSHG,2725,2018-11-26,512.13,506.72,514.15,506.62,2083274.0,1063536979.0,6.860743,506.72
600519.XSHG,2726,2018-11-27,506.62,503.04,509.37,501.58,2204611.0,1112920631.0,6.860743,503.04
600519.XSHG,2727,2018-11-28,505.57,511.21,513.22,500.66,3022234.0,1535544366.0,6.860743,511.21
600519.XSHG,2728,2018-11-29,519.5,506.26,522.96,503.88,4910620.0,2524752310.0,6.860743,506.26
600519.XSHG,2729,2018-11-30,511.21,518.55,522.12,507.54,5340020.0,2762808219.0,6.860743,518.55
600519.XSHG,2730,2018-12-03,540.58,551.78,555.27,536.7,9088592.0,4964130146.0,6.860743,551.78
600519.XSHG,2731,2018-12-04,553.42,552.72,554.59,546.09,3429291.0,1888148735.0,6.860743,552.72
600519.XSHG,2732,2018-12-05,548.38,559.95,565.82,546.09,4531314.0,2523641849.0,6.860743,559.95
600519.XSHG,2733,2018-12-06,550.68,543.15,556.17,541.83,4113996.0,2250440655.0,6.860743,543.15
600519.XSHG,2734,2018-12-07,546.64,538.75,549.63,536.63,2924581.0,1583970320.0,6.860743,538.75
600519.XSHG,2735,2018-12-10,528.65,529.78,539.2,526.98,2684768.0,1427993218.0,6.860743,529.78
600519.XSHG,2736,2018-12-11,529.57,535.07,538.33,529.57,1777804.0,949962155.0,6.860743,535.07
600519.XSHG,2737,2018-12-12,540.39,540.58,540.77,534.89,2170586.0,1168089518.0,6.860743,540.58
600519.XSHG,2738,2018-12-13,541.5,552.28,556.99,541.13,4401788.0,2427823194.0,6.860743,552.28
600519.XSHG,2739,2018-12-14,548.85,544.22,550.49,543.33,2675376.0,1461585126.0,6.860743,544.22
600519.XSHG,2740,2018-12-17,543.86,541.98,546.98,536.92,2712571.0,1466942952.0,6.860743,541.98
600519.XSHG,2741,2018-12-18,537.72,542.36,542.91,536.91,2094386.0,1130221286.0,6.860743,542.36
600519.XSHG,2742,2018-12-19,540.58,530.3,542.41,528.68,2801927.0,1501321336.0,6.860743,530.3
600519.XSHG,2743,2018-12-20,528.85,527.27,533.7,522.12,2935401.0,1549600760.0,6.860743,527.27
600519.XSHG,2744,2018-12-21,524.06,520.77,526.31,515.99,3338481.0,1736537277.0,6.860743,520.77
600519.XSHG,2745,2018-12-24,517.18,521.31,523.98,512.13,2082148.0,1080787424.0,6.860743,521.31
600519.XSHG,2746,2018-12-25,516.0,519.28,520.85,508.1,2897471.0,1490157587.0,6.860743,519.28
600519.XSHG,2747,2018-12-26,517.46,514.04,521.67,512.13,1946643.0,1005617678.0,6.860743,514.04
600519.XSHG,2748,2018-12-27,523.14,516.72,524.84,516.0,3213523.0,1670211285.0,6.860743,516.72
600519.XSHG,2749,2018-12-28,516.99,541.51,547.37,513.97,6938188.0,3705150490.0,6.860743,541.51
